nom,prenom,email,logiciel,version
Dupont,Marie,marie.dupont@email.com,Photoshop,2024.1
Dupont,Marie,marie.dupont@email.com,Illustrator,2023.5
Lemoine,Jean,jean.lemoine@email.com,Excel,2019
Durand,Claire,claire.durand@email.com,AutoCAD,2022
Durand,Claire,claire.durand@email.com,Photoshop,2023.2
Martin,Louis,louis.martin@email.com,Visual Studio Code,1.88.0
Martin,Louis,louis.martin@email.com,Git,2.44.0
Bernard,Emma,emma.bernard@email.com,Word,2021
Bernard,Emma,emma.bernard@email.com,Excel,2021
Bernard,Emma,emma.bernard@email.com,PowerPoint,2021
